Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
19,DIAMOX 250MG COMP-ACETAZOLAMIDA,COMP C/250MG,2,2,1,-1,0,0,4,"0,667",36,,"53,997"
38,ACICLOVIR 200MG COMP EUROFARMA,COMP C/200MG,9,4,6,7,10,8,44,"7,333",676,,"92,182"
41,UNI VIR 250MG FR/AMP EV-ACICLOVIR,FA C/250MG,0,9,0,0,0,0,9,"1,5",339,,226
47,SOMALGIN CARDIO 100MG COMP REV-ACIDO ACETILSALICILICO,COMP C/100MG,3,3,0,1,1,0,8,"1,333",1681,,"1260,782"
59,AAS 100MG COMP-ACIDO ACETILSALICILICO,COMP C/100MG,52,20,24,29,41,28,193,"32,167",675,,"20,984"
82,ENDOFOLIN 5MG COMP REV-ACIDO FOLICO,COMP C/5MG,2,5,2,3,3,1,16,"2,667",300,,"112,499"
95,MYFORTIC 360MG COMP REV-MICOFENOLATO SODIO,COMP C/360MG,0,3,2,2,0,0,7,"1,167",131,,"112,283"
112,TRANSAMIN 50MG/ML-5ML AMP EV-ACIDO TRANEXAMICO,AMP C/250MG,-1,2,5,1,10,4,21,"3,5",104,,"29,714"
116,URSACOL 300MG COMP-ACIDO URSODESOXICOLICO,COMP C/300MG,3,7,5,2,3,0,20,"3,333",98,,"29,4"
144,AGUA DESTILADA 10ML AMP ISOFARMA,AMP C/10ML,222,378,180,351,259,158,1548,258,5973,,"23,151"
156,ALBENDAZOL 40MG/ML-10ML FR ORAL PRATI,FRASC C/10ML,0,1,1,0,0,0,2,"0,333",31,,"93,009"
187,ALFAST 544MCG/ML-5ML AMP EV-ALFENTANILA,AMP C/2720MCG,-4,20,-9,10,-3,18,32,"5,333",153,,"28,688"
196,ZYLORIC 100MG COMP-ALOPURINOL,COMP C/100MG,1,1,1,3,2,2,10,"1,667",34,,"20,4"
198,ZYLORIC 300MG COMP-ALOPURINOL,COMP C/300MG,4,5,3,4,2,0,18,3,126,,42
203,"FRONTAL 0,5MG COMP-ALPRAZOLAM","COMP C/0,5MG",14,12,10,20,13,11,80,"13,333",553,,"41,475"
245,AMYTRIL 25MG COMP REV-AMITRIPTILINA,COMP C/25MG,4,4,7,6,8,3,31,"5,167",31,,6
253,"AMOXICILINA/CLAVULANATO POT 250/62,5MG/5ML-75ML FR SUSP EMS",FRASC C/75ML,1,1,1,1,0,1,5,"0,833",4,,"4,8"
267,AMOXICILINA 500MG CAPS EUROFARMA,CAPS C/500MG,0,4,14,11,4,10,43,"7,167",0,,0
307,ANLODIPINO 5MG COMP MEDLEY,COMP C/5MG,20,29,28,21,7,16,121,"20,167",584,,"28,959"
330,ATORVASTATINA 10MG COMP REV EMS,COMP C/10MG,1,0,0,0,0,0,1,"0,167",87,,"521,896"
332,ATORVASTATINA 20MG COMP REV EMS,COMP C/20MG,13,9,12,16,10,2,62,"10,333",13,,"1,258"
346,ATROPINA 10MG/ML-5ML FR OFTAL-ATROPINA,FRASC C/5ML,1,1,0,0,2,0,4,"0,667",53,,"79,496"
351,IMURAN 50MG COMP-AZATIOPRINA,COMP C/50MG,0,0,0,0,2,0,2,"0,333",106,,"318,032"
354,AZITROMICINA 500MG COMP REV EUROFARMA,COMP C/500MG,3,1,2,1,0,0,7,"1,167",336,,"287,992"
357,AZITROMICINA 600MG(200MG/5ML-15ML)FR PO SUSP EUROFARMA,FRASC C/15ML,0,0,0,0,1,0,1,"0,167",4,,"23,995"
361,AZUL METILENO 20MG/ML(2%)-5ML AMP EV(MANIPULADO),AMP C/100MG,0,0,0,2,2,3,7,"1,167",21,,"17,999"
363,AZUL PATENTE 25MG/ML-2ML FR/AMP EV/SC/IA-MANIP,FA C/50MG,1,0,0,0,0,0,1,"0,167",15,,"89,982"
365,BACLOFENO 10MG COMP UNIAO QUIMICA,COMP C/10MG,2,2,2,2,2,1,11,"1,833",241,,"131,457"
409,PRONTOSAN 350ML FR TOP-BETAINA,FRASC C/350ML,4,1,3,3,2,4,17,"2,833",15,,"5,294"
415,LABIRIN 8MG COMP-BETAISTINA,COMP C/8MG,14,7,2,6,14,11,54,9,102,,"11,333"
422,DUOFLAM 5/2MG-1ML AMP IM (BETAMETASONA DIP/FOSF DIS),AMPOLA,20,14,28,15,28,16,121,"20,167",546,,"27,074"
462,"BICARBONATO SODIO 84MG/ML(8,4%)-250ML FR EV FRESENIUS",FRASC C/250ML,-4,1,1,12,17,1,28,"4,667",139,,"29,786"
Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
479,DULCOLAX 5MG DRG-BISACODIL,DRAGEA,1,4,2,3,3,2,15,"2,5",167,,"66,8"
488,"BISOPROLOL 2,5MG COMP EMS","COMP C/2,5MG",2,5,3,7,11,10,38,"6,333",228,,36
505,LEXOTAN 3MG COMP-BROMAZEPAM,COMP C/3MG,1,1,0,0,0,0,2,"0,333",58,,"174,017"
534,"PULMICORT 0,5MG/ML-2ML FR INAL-BUDESONIDA",FRASC C/2ML,15,13,19,15,24,13,99,"16,5",350,,"21,212"
558,"NEOCAINA PESADA 0,5%-4ML AMP-BUPIVACAINA/GLICOSE",AMPOLA,-3,24,-10,17,4,-2,30,5,320,,64
564,"NEOCAINA 0,5%-20ML FR/AMP EV-BUPIVACAINA",FA C/100MG,0,0,1,0,2,0,3,"0,5",30,,60
630,TEGRETOL 200MG COMP-CARBAMAZEPINA,COMP C/200MG,7,6,6,6,8,4,37,"6,167",421,,"68,27"
653,CARBOLITIUM 300MG COMP-CARBONATO LITIO ,COMP C/300MG,2,0,4,11,2,5,24,4,92,,23
703,KEFADIM 1.000MG FR/AMP EV/IM-CEFTAZIDIMA,FA C/1000MG,0,0,2,3,2,0,7,"1,167",22,,"18,857"
707,ROCEFIN 1.000MG FR/AMP IM-CEFTRIAXONA,FA C/1000MG,0,0,2,2,0,0,4,"0,667",37,,"55,497"
708,CEFTRIAXONA 1.000MG FR/AMP EV ABL,FA C/1000MG,26,17,24,26,20,26,139,"23,167",1900,,"82,014"
712,ZINNAT 50MG/ML-70ML PO FR (CEFUROXIMA),FRASC C/70ML,0,0,0,2,-1,0,1,"0,167",16,,"95,981"
715,ZINNAT 500MG COMP REV (CEFUROXIMA),COMP C/500MG,0,0,3,2,2,1,8,"1,333",32,,"24,001"
716,KEROXIME 750MG FR/AMP EV/IM-CEFUROXIMA,FA C/750MG,0,0,5,2,4,6,17,"2,833",263,,"92,825"
785,MIOSAN 5MG COMP-CICLOBENZAPRINA,COMP C/5MG,19,17,13,40,-5,4,88,"14,667",1146,,"78,136"
808,CEBRALAT 100MG COMP-CILOSTAZOL,COMP C/100MG,4,5,6,5,4,4,28,"4,667",298,,"63,857"
824,LIPLESS 100MG COMP-CIPROFIBRATO,COMP C/100MG,1,1,2,3,2,0,9,"1,5",131,,"87,333"
874,KLARICID 50MG/ML-60ML FR SUSP-CLARITROMICINA,FRASC C/60ML,0,1,1,0,0,0,2,"0,333",13,,"39,004"
892,"CLOPAM 0,5 MG COMP(CLONAZEPAM)","COMP C/0,5MG",1,1,1,7,2,2,14,"2,333",273,,"117,002"
899,ATENSINA 100MCG COMP-CLONIDINA,COMP C/100MCG,5,5,3,9,9,3,34,"5,667",401,,"70,764"
900,CLONIDIN 150MCG/ML-1ML AMP-CLONIDINA,AMP C/150MCG,-7,15,-5,3,-8,5,3,"0,5",202,,404
907,CLOPIDOGREL 75MG COMP REV EMS,COMP C/75MG,21,7,8,15,16,7,74,"12,333",957,,"77,595"
